,BASE 0-SHOT JUSTIFICATION,BASE 0-SHOT CoT JUSTIFICATION,BASE 1-SHOT JUSTIFICATION,BASE 2-SHOT JUSTIFICATION,DETAILED 0-SHOT JUSTIFICATION,DETAILED GPT4 0-SHOT CoT JUSTIFICATION,DETAILED 1-SHOT JUSTIFICATIONS,DETAILED 2-SHOT JUSTIFICATIONS,DETAILED 1-SHOT JUSTIFICATION,DETAILED 2-SHOT CoT JUSTIFICATION
BASE 0-SHOT JUSTIFICATION,1.0,0.823588,0.82502246,0.79675627,0.7033731,0.77307576,0.814095,0.82690334,0.816514,0.80469835
BASE 0-SHOT CoT JUSTIFICATION,0.823588,1.0,0.83153766,0.7948879,0.7031777,0.80350083,0.8275453,0.8511406,0.84815526,0.83868897
BASE 1-SHOT JUSTIFICATION,0.82502246,0.83153766,1.0,0.8936274,0.6909363,0.84265614,0.7949213,0.83074725,0.81166625,0.83698976
BASE 2-SHOT JUSTIFICATION,0.79675627,0.7948879,0.8936274,1.0,0.6687807,0.8620568,0.75685525,0.8024615,0.7751383,0.8251403
DETAILED 0-SHOT JUSTIFICATION,0.7033731,0.7031777,0.6909363,0.6687807,1.0,0.7571937,0.7175143,0.7118781,0.71147335,0.69572884
DETAILED GPT4 0-SHOT CoT JUSTIFICATION,0.77307576,0.80350083,0.84265614,0.8620568,0.7571937,1.0,0.7710488,0.80087376,0.7754275,0.8142451
DETAILED 1-SHOT JUSTIFICATIONS,0.814095,0.8275453,0.7949213,0.75685525,0.7175143,0.7710488,1.0,0.8225692,0.83533347,0.8172902
DETAILED 2-SHOT JUSTIFICATIONS,0.82690334,0.8511406,0.83074725,0.8024615,0.7118781,0.80087376,0.8225692,1.0,0.8488897,0.8578273
DETAILED 1-SHOT JUSTIFICATION,0.816514,0.84815526,0.81166625,0.7751383,0.71147335,0.7754275,0.83533347,0.8488897,1.0,0.85889053
DETAILED 2-SHOT CoT JUSTIFICATION,0.80469835,0.83868897,0.83698976,0.8251403,0.69572884,0.8142451,0.8172902,0.8578273,0.85889053,1.0
